DIA,FECHA,AMS_TON,AMS_PCT,MECANIZADOS_TON,MECANIZADOS_PCT,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_PCT,COMELURSA_TON,COMELURSA_PCT,URBALUZ_TON,URBALUZ_PCT,CONSORCIO_ROGER_ETK_TON,CONSORCIO_ROGER_ETK_PCT,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_PCT,TOTAL_GENERAL_TON
S,01/MARZO/2025,30.38,4.54%,-,0.00%,30.38,0.00%,211.19,30.69%,245.25,35.64%,201.38,29.26%,657.81,95.59%,688.19
D,02/MARZO/2025,7.06,0.00%,-,0.00%,7.06,0.00%,53.56,0.00%,104.94,46.84%,58.47,26.10%,216.97,96.85%,224.03
L,03/MARZO/2025,26.79,3.12%,-,0.00%,26.79,3.12%,241.35,28.08%,371.45,43.21%,220.07,25.60%,832.87,96.88%,859.66
M,04/MARZO/2025,19,2.18%,-,0.00%,19,2.18%,253.7,29.10%,379.3,43.51%,219.79,25.21%,852.79,97.82%,871.79
MI,05/MARZO/2025,19,2.31%,-,0.00%,19,2.31%,251.41,30.53%,357.44,43.40%,195.71,23.76%,804.56,97.69%,823.56
J,06/MARZO/2025,25.26,3.27%,-,0.00%,25.26,3.27%,223.35,28.90%,338.69,43.82%,185.63,24.02%,747.67,96.73%,772.93
V,07/MARZO/2025,25.9,3.50%,-,0.00%,25.9,3.50%,218.99,29.59%,320.79,43.35%,174.34,23.56%,714.12,96.50%,740.02
S,08/MARZO/2025,9.84,1.43%,-,0.00%,9.84,1.43%,230.39,33.38%,261.01,37.82%,188.96,27.38%,680.36,98.57%,690.2
D,09/MARZO/2025,17.35,7.65%,-,0.00%,17.35,7.65%,44.04,19.43%,95.97,42.34%,69.3,30.57%,209.31,92.35%,226.66
L,10/MARZO/2025,27.16,3.38%,-,0.00%,27.16,3.38%,225.84,28.15%,363.11,45.25%,186.29,23.22%,775.24,96.62%,802.4
M,11/MARZO/2025,11.86,1.48%,-,0.00%,11.86,1.48%,256.21,31.98%,364.27,45.46%,168.89,21.08%,789.37,98.52%,801.23
MI,12/MARZO/2025,27.16,3.01%,-,0.00%,27.16,3.01%,260.56,28.83%,357.36,39.54%,258.74,28.63%,876.66,96.99%,903.82
J,13/MARZO/2025,21.71,2.73%,-,0.00%,21.71,2.73%,216.25,27.21%,340.97,42.90%,215.95,27.17%,773.17,97.27%,794.88
V,14/MARZO/2025,24.9,2.97%,-,0.00%,24.9,2.97%,259.7,30.99%,332.73,39.71%,220.61,26.33%,813.04,97.03%,837.94
S,15/MARZO/2025,14.99,2.26%,-,0.00%,14.99,2.26%,187.11,28.17%,265.81,40.02%,196.3,29.55%,649.22,97.74%,664.21
D,16/MARZO/2025,16.04,6.32%,-,0.00%,16.04,6.32%,49.25,19.10%,98.63,38.83%,89.97,35.44%,237.85,93.68%,253.89
L,17/MARZO/2025,18.26,2.17%,-,0.00%,18.26,2.17%,235.72,28.04%,356.61,42.43%,229.94,27.36%,822.27,97.83%,840.53
M,18/MARZO/2025,13.1,1.56%,-,0.00%,13.1,1.56%,244.1,29.16%,357.82,42.74%,221.08,26.41%,823,98.44%,836.1
MI,19/MARZO/2025,9.41,1.15%,-,0.00%,9.41,1.15%,236.84,28.85%,361.27,44.01%,213.39,25.99%,811.5,98.85%,820.91
J,20/MARZO/2025,9.41,1.14%,-,0.00%,9.41,1.14%,236.08,28.54%,352.75,42.65%,228.85,27.67%,817.68,98.86%,827.09
V,21/MARZO/2025,7.24,0.98%,-,0.00%,7.24,0.98%,215.93,29.15%,314.04,42.39%,203.64,27.49%,733.61,99.02%,740.85
S,22/MARZO/2025,16.28,2.35%,-,0.00%,16.28,2.35%,207.06,29.96%,253.76,36.71%,214.09,30.97%,674.91,97.65%,691.19
D,23/MARZO/2025,14.25,5.83%,-,0.00%,14.25,5.83%,55.37,22.66%,88.52,36.23%,86.21,35.28%,230.1,94.17%,244.35
L,24/MARZO/2025,14.07,2.23%,-,0.00%,14.07,2.23%,12.24,0.00%,377.68,0.00%,226.71,35.95%,616.63,97.77%,630.7
M,25/MARZO/2025,24.66,2.70%,-,0.00%,24.66,2.70%,282.92,30.95%,369.78,40.45%,236.84,25.91%,889.54,97.30%,914.2
MI,26/MARZO/2025,18.49,2.11%,-,0.00%,18.49,2.11%,272.39,31.13%,359.32,41.07%,224.67,25.68%,856.38,97.89%,874.87
J,27/MARZO/2025,13.01,1.52%,-,0.00%,13.01,1.52%,236.36,27.62%,372.1,43.48%,234.33,27.38%,842.79,98.48%,855.8
V,28/MARZO/2025,12.21,1.46%,-,0.00%,12.21,1.46%,234.68,28.08%,343.03,41.04%,245.9,29.42%,823.61,98.54%,835.82
S,29/MARZO/2025,18.29,2.53%,-,0.00%,18.29,2.53%,223.62,30.92%,270.91,37.46%,210.35,29.09%,704.88,97.47%,723.17
D,30/MARZO/2025,9.95,4.52%,-,0.00%,9.95,4.52%,67.97,30.89%,87.2,39.63%,54.91,24.96%,210.08,95.48%,220.03
,31/03/2025,10.08,1.21%,-,0.00%,10.08,1.21%,215.82,0.00%,365,43.87%,241.09,28.98%,821.91,98.79%,831.99
,,,,,,,,,,,,,,,,
