DIA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMLURSA,URBALUZ,TOTAL PRIVADAS,TOTAL GENERAL
0.0,6.0,2.74,73.66,33.63,139.37,63.63,213.03,97.26,219.03
0.0,31.32,4.01,308.68,39.5,441.49,56.49,750.17,95.99,781.49
0.0,24.11,3.16,312.66,40.98,426.12,55.86,738.78,96.84,762.89
0.0,16.62,2.18,310.68,40.84,433.5,56.98,744.18,97.82,760.8
0.0,15.83,2.31,287.07,41.89,382.39,55.8,669.46,97.69,685.29
0.0,24.02,3.12,326.14,42.31,420.65,54.57,746.79,96.88,770.81
0.0,26.75,4.14,310.85,48.16,307.8,47.69,618.65,95.86,645.4
0.0,13.27,6.36,82.38,39.47,113.09,54.18,195.47,93.64,208.74
0.0,26.77,3.36,355.19,44.55,415.38,52.1,770.57,96.64,797.34
0.0,21.86,2.79,324.16,41.41,436.86,55.8,761.02,97.21,782.88
0.0,19.8,2.6,308.42,40.45,434.27,56.95,742.69,97.4,762.49
0.0,15.62,2.3,287.91,42.47,374.38,55.23,662.29,97.7,677.91
0.0,18.61,2.86,274.51,42.24,356.74,54.89,631.25,97.14,649.86
0.0,12.94,2.18,273.8,46.14,306.72,51.68,580.52,97.82,593.46
0.0,26.92,10.51,104.67,40.86,124.56,48.63,229.23,89.49,256.15
0.0,19.33,2.42,341.56,42.78,437.54,54.8,779.1,97.58,798.43
0.0,21.98,2.75,332.92,41.68,443.88,55.57,776.8,97.25,798.78
0.0,15.85,2.08,319.13,41.85,427.58,56.07,746.71,97.92,762.56
0.0,19.4,2.49,331.87,42.67,426.41,54.83,758.28,97.51,777.68
0.0,15.66,2.22,285.18,40.43,404.56,57.35,689.74,97.78,705.4
0.0,20.21,0.0,330.61,47.86,340.02,49.22,670.63,97.07,690.84
0.0,13.47,4.38,103.88,33.81,189.91,61.81,293.79,95.62,307.26
0.0,23.03,2.89,334.32,42.02,438.3,55.09,772.62,97.11,795.65
0.0,30.1,3.94,329.73,43.13,404.64,52.93,734.37,96.06,764.47
0.0,14.56,3.48,117.18,28.04,286.16,68.48,403.34,96.52,417.9
0.0,34.36,5.36,245.06,38.23,361.59,56.41,606.65,94.64,641.01
0.0,27.02,3.88,321.12,46.12,348.13,50.0,669.25,96.12,696.27
0.0,23.25,3.34,240.93,34.65,431.15,62.01,672.08,96.66,695.33
0.0,31.3,7.87,143.08,0.0,223.39,56.16,366.47,92.13,397.77
0.0,29.57,3.26,428.53,47.25,448.92,49.49,877.45,96.74,907.02
0.0,21.31,0.0,279.77,0.0,321.03,51.6,600.8,96.57,622.11
660.84,0.0,8425.65,0.0,11046.53,54.87,19472.18,96.72,20133.02,
